Month,Retention
1,100.0
2,0.46842105263157896
3,0.3444444444444444
4,0.24705882352941178
5,0.2875
6,0.22666666666666668
7,0.2733333333333334
8,0.20000000000000004
9,0.20000000000000004
10,0.20909090909090908
11,0.26
12,0.23000000000000004
13,0.2
14,0.1875
15,0.15
16,0.18333333333333335
17,0.15
18,0.275
20,0.45
21,0.8
